0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
5.1889620301,6.3854333083,5.2636781203,3.2054699248,6.2971889474,3.2711316541,6.3508233083,3.5967416541,3.0677999248,1.3406674587,3.0031242857,3.6257633835,3.5354816541,3.4573077444,1.8223190977,3.1182042857,3.2954842857,2.4838586466,3.5623699248,3.0103603759,3.193336015,3.1671699248,6.7540033083,2.540765188,5.4612429323,2.6005208271,2.6010330075,3.3994486466,4.8291438346,6.9114693985,1.0140476391,3.9016955639,9.7193715038,10.0470410526,10.0080071429,9.7989854135,9.6117354135,10.2697249624,9.2547297744,11.2589479699,9.9574366917,1.8619439173,2.1631630075,3.3878708271,4.8607325564,4.5869386466,4.3793530075,4.5127847368,4.0199990977,3.3538090977,4.4815547368,4.2646630075,4.8147930075,4.7292790977,4.9807790977,4.114855188,5.3586947368,5.1720325564,4.4176312782,4.8316408271,5.0901530075,5.3743130075,5.6112147368,4.4095030075,4.3479469173,4.2998990977,5.8554125564,5.6387930075,4.6522390977,5.4990169173,4.5572030075,4.456685188,4.8957212782,4.3059630075,5.8397051128,1.0282187293,3.0540947368,2.5515695489,4.7962138346,4.4157578196,7.168895188,5.0517399248,1.7471560075,3.3157208271,3.1661934587,2.8068873684,4.2677803759,1.600807188,3.1072990977,3.8662008271,2.6822334587,3.002736015,1.9721390977,15.4128,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,15.1382639098,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.1708,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,16.0728,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,16.0728,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.1076,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,14.546975188,1.5860673684,3.4176377444,,,,,,,,,,
5.0972381203,5.3343242105,6.8678528571,3.1269138346,6.1989550376,3.4249655639,6.1021154887,3.3050199248,3.1650138346,1.877715188,2.7825442857,3.2120277444,3.5702216541,3.6891394737,1.6474672782,3.1182042857,3.2954842857,2.5753725564,3.470656015,2.8153525564,2.3309286466,4.074531203,6.0361537594,3.0710486466,4.4060821053,3.6531999248,2.3274969173,3.8776525564,4.2143403759,7.5718728571,0.7180869098,2.9036181955,9.1761358647,9.8699393233,10.2576149624,9.5417715038,10.1562410526,9.7034593233,9.8012554135,10.3412027819,11.9086531579,2.4097964662,2.1525830075,2.8529790977,4.3651225564,4.5940247368,4.6026647368,4.2082430075,4.2432969173,3.3846990977,4.3654908271,4.4200208271,4.8818930075,4.5357912782,5.5003669173,3.994985188,4.7426069173,4.6007108271,5.4247869173,4.4527730075,5.3615908271,4.6605690977,5.3566469173,5.2336086466,5.2873708271,3.3978034587,5.9094725564,5.1764430075,5.4161047368,5.1377890977,4.4906290977,4.4132790977,4.7627212782,4.5665469173,6.7237290226,1.0358247293,2.0377573684,2.569935188,4.1394308271,4.9683125564,6.7208634587,6.1302421053,2.1333826466,1.6280834587,2.6827112782,4.0147808271,4.9392747368,2.0651087368,1.7745756391,4.6793386466,2.5158112782,3.7423238346,1.9269990977,10.8734,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,15.6637639098,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,15.3784,15.8061,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.1076,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,16.0728,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,16.0728,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,3.7987547368,2.3062069173,,,,,,,,,,
5.1889620301,6.3854333083,5.2636781203,3.2054699248,6.2971889474,3.2711316541,6.3508233083,3.5967216541,3.0677999248,1.4461963684,2.8975703759,3.6257633835,3.5354816541,3.4573177444,1.8223190977,3.1182042857,3.2954842857,2.4838586466,3.5623699248,3.0103603759,3.0692721053,3.2912238346,6.7540033083,2.533385188,5.4686229323,2.3907730075,2.8107708271,3.3994486466,4.8291438346,6.9114893985,1.0140476391,3.9116155639,9.7094715038,9.7034593233,10.3516088722,9.7989854135,9.6117354135,10.1451210526,9.3692436842,10.5406845113,10.6857901504,1.8619439173,2.1631630075,3.3878708271,4.8519525564,4.5895786466,4.3854930075,4.5127847368,3.9400590977,3.4194390977,4.4612647368,4.2990430075,4.7933230075,4.5635690977,5.0756390977,4.207185188,4.9797847368,5.4166925564,4.2669773684,4.7174869173,5.3823808271,5.4811530075,5.1050769173,4.9068108271,4.3567369173,4.2257890977,5.9295225564,5.6090930075,4.3014290977,5.3519490977,4.7038830075,4.5205430075,4.8153812782,4.6947530075,5.8445451128,1.0282187293,3.0505147368,2.1911217293,4.5293521053,4.7111573684,6.8907034587,5.5699077444,1.7180600075,2.2478634587,3.5544312782,3.4296908271,4.4491903759,1.591626188,3.0030090977,3.6086990977,2.990165188,3.065796015,1.9721390977,13.7223,18.0316,18.0311,18.0302,18.0316,18.0311,18.0302,18.0316,18.0311,18.0302,18.0316,18.0311,18.0302,15.3368639098,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.1767,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,16.0786,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,16.0728,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.1017,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,16.013175188,1.5461283684,2.3991447368,,,,,,,,,,
5.1889620301,6.3637533083,5.2851681203,3.4150877444,5.9956272181,3.6280933835,5.993851579,3.5967416541,3.0677999248,1.838765188,2.5049925564,3.6257633835,3.4784977444,3.5974155639,1.6677512782,3.1523542857,3.2410742857,2.5653025564,3.5623799248,3.0198403759,2.7741803759,6.7741350376,3.9433116541,3.6075630075,4.3220590226,2.3881330075,3.6470147368,2.4177469173,5.9549290226,5.7214142105,1.3190523684,5.1782746617,9.615537594,10.2158549624,9.7573393233,9.8012554135,9.8869171429,10.0741671429,9.8810593233,10.8259362406,8.4398758647,1.8864739173,2.0447290977,4.3158764662,4.6765986466,4.0772669173,4.7158747368,3.9240030075,4.1073890977,3.2729990977,4.4463547368,5.4744086466,4.0107773684,4.9053930075,5.0970630075,4.1953890977,5.0675408271,5.1812986466,4.722995188,4.4403830075,5.4590130075,5.6384747368,4.5754630075,5.1217908271,4.4149769173,4.8022890977,5.5739625564,5.7324769173,4.349985188,5.1507130075,4.5302130075,4.7024230075,4.9794712782,4.4159569173,5.322001203,0.690837,3.2993625564,2.8883873684,4.1888781955,4.9781556391,6.6083373684,5.2635977444,1.6489200977,3.2567769173,3.2037134587,2.8049373684,4.2757542857,1.620083188,3.025415188,3.8450508271,4.419476015,2.3849925564,0.880173,17.8483,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,14.8194639098,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.1708,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.1017,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.1017,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,16.0786,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,12.395175188,1.6035873684,3.6415194737,,,,,,,,,,
5.1889620301,6.6568311278,5.6596998496,4.7880503008,6.1161011278,4.266611203,3.8155772932,3.2725838346,2.8899721053,3.289946015,3.6479094737,2.9710799248,3.6641177444,1.5015912782,2.9297242857,2.8130708271,2.5801225564,3.6300299248,3.233936015,2.7736225564,4.4700568421,5.9369398496,3.3753642857,4.5236921053,3.6284099248,2.0371290977,4.1930403759,3.3514730075,8.4324902256,0.7180869098,2.1117127368,9.7615215038,9.462377594,10.1340210526,10.2576149624,9.0613819549,10.5918606015,9.7128454135,10.1116010526,11.7791892481,2.7807781955,2.3370908271,2.7488690977,4.4678325564,4.6239047368,4.1741269173,4.1117290977,4.5040847368,3.5879130075,3.6794290977,5.0624925564,4.9560430075,4.5095212782,5.0367730075,4.1886190977,5.0611469173,4.4489408271,5.5797869173,4.1768130075,5.6424508271,4.6605690977,5.2258069173,5.1782047368,5.1660269173,3.7055712782,5.8951525564,5.1905530075,5.0649069173,5.4891669173,4.2347190977,4.6691990977,4.4386112782,4.8904169173,6.7197590226,1.1275366391,2.0417173684,2.569945188,3.8082830075,5.1680003759,6.8461134587,6.4056838346,1.9425858271,1.6280834587,2.7704212782,3.8352869173,4.9414647368,2.0629317368,1.8702856391,4.6737886466,2.648245188,3.5196999248,1.9662690977,12.2611,18.0316,18.0302,18.0311,18.0316,18.0302,18.0311,18.0316,18.0302,18.0311,18.0316,18.0302,18.0311,15.4914639098,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.1708,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,16.0728,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.1017,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,16.0786,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,2.7391186466,2.3476608271,,,,,,,,,,,
5.1889620301,6.3854333083,5.2636781203,3.2054699248,6.2971889474,3.2711416541,6.3508233083,3.5967416541,3.0677999248,1.3406534587,3.0031242857,3.6257633835,3.5354816541,3.4573077444,1.8223190977,3.1182042857,3.2954842857,2.4838586466,3.5623699248,3.0103903759,3.0692921053,3.2912238346,6.7540233083,2.527855188,5.4741429323,2.3907530075,2.7810208271,3.4292286466,4.8291438346,6.9114693985,1.0140476391,3.9016955639,9.7193715038,9.7034593233,10.3516088722,9.7989854135,9.6117354135,10.2697249624,9.2448297744,10.666138421,10.5601662406,1.8619439173,2.1631630075,3.3580108271,4.8564525564,4.5808186466,3.7474290977,4.5184369173,4.1084630075,3.3455790977,5.0336925564,4.1352230075,4.5524790977,4.9516830075,4.766775188,4.5240690977,4.9885447368,4.6239008271,4.619805188,5.1574108271,5.1191769173,5.118965188,5.2699086466,4.9562669173,4.7229008271,4.2548590977,5.9295225564,5.274475188,4.6303969173,5.0829090977,4.8201030075,4.6660930075,4.5316012782,4.8500330075,6.0021651128,1.0114777293,2.471885188,2.4632912782,4.3826564662,4.8767430075,6.5594634587,6.2025277444,1.7180740075,1.7467634587,3.7419412782,3.5487369173,4.3331425564,1.8703769173,3.1448190977,3.4984890977,2.990165188,3.065826015,1.9721390977,14.1749,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,15.2659639098,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.1767,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,16.0786,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,16.0728,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.1017,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.631475188,1.5915973684,2.9918521053,,,,,,,,,,
5.1889620301,6.3854333083,5.2636981203,3.2054699248,6.2971889474,3.2711316541,6.3508233083,3.5967416541,3.0677999248,1.3406674587,3.0031242857,3.6257633835,3.5354816541,3.4573077444,1.8223190977,3.1182142857,3.2954842857,2.4838786466,3.5623599248,3.0103603759,2.5375125564,3.8229733835,6.7540033083,2.378135188,4.2465921053,3.7680238346,2.7060508271,3.4868586466,4.8464938346,6.9114893985,0.7180869098,3.5517677444,9.7072615038,10.1009110526,9.6888254135,10.0764271429,9.5200115038,10.3493488722,9.9028193233,10.4372706015,10.7892440601,1.8619439173,2.1631630075,3.1949869173,4.1610247368,4.8140347368,4.2897547368,4.2753569173,4.2132230075,3.3322590977,4.3641108271,4.3772108271,5.1163530075,5.0199930075,4.781715188,3.994985188,4.7426069173,5.2309325564,4.794585188,4.9311408271,4.8922230075,5.0561590977,5.6113686466,4.5745369173,5.2873708271,3.8905212782,5.6252347368,5.4511930075,5.1222947368,4.9782790977,4.9044730075,4.5352730075,4.5923812782,4.2298990977,6.7163890226,0.9837987293,2.0794173684,2.8834490977,4.3826564662,4.6081430075,6.6058234587,6.4242377444,1.7180740075,1.7467734587,3.3886012782,3.6742769173,4.5609225564,1.8703919173,2.3581156391,4.1731986466,2.731585188,3.4361399248,1.9662690977,12.8054,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,15.4269639098,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,15.2056,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.1076,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,16.0728,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,16.0728,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.5694473684,1.7006612782,2.3476608271,,,,,,,,,,
5.1889620301,6.6568311278,5.6596998496,4.7880503008,6.1161011278,4.266611203,3.8155772932,3.2725838346,2.8899721053,3.289946015,3.6479094737,2.9710799248,3.6641177444,1.5015912782,2.9297242857,2.8072508271,2.5859525564,3.6051299248,2.5950225564,3.437436015,4.4700568421,5.9369598496,3.3753642857,4.4882721053,3.6636699248,2.0371290977,4.1930403759,3.3390430075,8.4449202256,0.7180869098,2.1117127368,9.7615015038,9.8158893233,9.7805493233,10.2576149624,9.0613819549,10.820078421,9.6655015038,9.9309271429,11.7791892481,2.7807781955,2.3370808271,2.8098690977,4.4068125564,4.6239047368,4.2070169173,4.3137469173,4.4585408271,3.3983290977,3.9273190977,4.8146025564,4.9560430075,4.5095212782,5.3656269173,3.859775188,5.0611469173,4.4489408271,5.5797869173,4.1768130075,5.6424508271,4.6605690977,5.2258069173,5.1782047368,5.3006608271,3.5709973684,5.8951525564,5.1905530075,5.1558408271,5.3980530075,4.2347190977,4.6691990977,4.6809912782,4.6480369173,6.7237090226,1.1275366391,2.0417173684,2.569965188,3.8620030075,5.1675403759,6.7952434587,6.4056638346,1.9425708271,1.6280834587,2.6483712782,3.9573869173,4.9392647368,2.0651087368,1.7437756391,4.7101386466,2.3470873684,3.8892077444,1.9488590977,10.9192,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,15.6525639098,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,15.3436,15.8409,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.1076,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,16.0728,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,16.0728,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,3.7641647368,2.3062169173,,,,,,,,,,,
5.1889620301,6.3637533083,5.2851681203,3.4150877444,5.9956272181,3.6280933835,5.993851579,3.5967416541,3.0677999248,1.838765188,2.5049925564,3.6257633835,3.4784977444,3.5974155639,1.6677512782,3.1523542857,3.2410742857,2.5653025564,3.5623799248,3.0198503759,2.7741803759,6.7657350376,3.9449116541,3.4620290977,4.4746429323,2.3881330075,3.6470347368,2.4177469173,5.9549190226,5.7214142105,1.3190523684,5.1782746617,9.615537594,9.6117354135,10.3614488722,9.8012554135,9.8869171429,10.0741671429,9.1531058647,11.3046918797,8.5828697744,1.9865898271,2.0508590977,3.8398986466,4.8626425564,4.0802108271,4.5857630075,4.3409347368,4.1034190977,3.2771990977,4.4463547368,5.0729686466,4.2227273684,5.0175130075,4.834365188,4.5356469173,5.0458708271,5.0717847368,4.533255188,4.5614669173,5.4923630075,5.3959369173,4.9843008271,5.1217908271,4.4149769173,4.403925188,5.5779425564,6.0271408271,4.449705188,4.7964190977,4.7175969173,4.8693530075,4.9497712782,4.4458469173,5.322001203,0.690837,3.2993625564,2.8883873684,4.1888981955,4.9776956391,6.9027873684,5.0638116541,1.554217188,3.3298069173,3.6674730075,2.5413178196,4.0931481955,1.5302062782,3.024815188,4.1313986466,4.4549699248,2.1070908271,1.89158,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,14.6860639098,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.1708,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.1076,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.1076,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,16.0728,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,11.4159390977,1.6176173684,3.5267555639,,,,,,,,,,
5.1889620301,6.3854333083,5.2636781203,3.2054699248,6.2971889474,3.2711316541,6.3508233083,3.5967416541,3.0677999248,1.3406674587,3.0031242857,3.6257633835,3.5354816541,3.4573077444,1.8223190977,3.1182042857,3.2954842857,2.4838786466,3.5623599248,2.8268025564,2.7211003759,3.8229733835,6.7540033083,2.260055188,4.3646821053,3.7680238346,2.7060508271,3.4942986466,4.8390438346,6.9114893985,0.7180869098,3.5517777444,9.7072615038,9.6117354135,10.1780010526,10.0764271429,9.5200115038,10.3493488722,9.2665997744,11.0735001504,10.7892440601,1.8619439173,2.1631630075,3.1124269173,5.1017964662,4.5808186466,3.7646590977,4.5012369173,4.1084630075,3.3455890977,5.0336925564,3.9842690977,4.7034230075,4.9517030075,4.766775188,4.5240690977,4.9748347368,4.5607208271,4.696745188,5.1574108271,5.1191769173,5.118965188,5.1929886466,5.0121869173,4.7436808271,4.2548590977,5.9295225564,5.274475188,4.6303969173,5.0829090977,4.8201030075,4.6660930075,4.5315912782,4.8500330075,6.0021651128,1.0114777293,2.5653590977,2.3698473684,4.3826664662,4.9542230075,6.7281034587,5.9563177444,1.7180740075,2.0143734587,3.7878612782,3.4296608271,4.1388186466,1.9019769173,3.1131690977,3.8695408271,2.6822234587,3.002716015,2.533575188,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,14.3448278195,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,18.0311,16.7449,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,16.0078,15.9789,15.9847,15.7894,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,16.0728,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,16.0728,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,16.0137,15.9789,15.9789,12.982675188,1.5864473684,3.6638094737,,,,,,,,,,
